N;min;median;max;min_greedy;median_greedy;max_greedy
10;3;4;5;3;4;5
11;3;4;5;3;4;6
12;3;4;5;3;5;5
13;3;4;5;4;4.5;5
14;4;4;6;4;5;6
15;4;4;5;4;5;6
16;4;4;5;4;5;6
17;4;4.5;6;4;5;6
18;4;4;6;4;5;6
19;4;5;6;4;5;6
20;4;5;5;4;5;6
21;4;5;6;4;5;6
22;4;5;5;4;5;6
23;4;5;6;4;5;6
24;4;5;5;4;5;6
25;4;5;6;4;5;6
26;4;5;5;4;5;6
27;4;5;6;4;5;6
28;4;5;6;4;5;6
29;4;5;6;4;5;6
30;4;5;6;5;5;6
31;4;5;6;4;5;6
32;4;5;6;5;5;6
33;4;5;6;5;5;6
34;4;5;5;5;5;6
35;4;5;6;4;5;6
36;4;5;5;4;5;6
37;4;5;5;5;5;6
38;4;5;5;5;5;6
39;4;5;6;5;5;6
40;4;5;6;5;5;6
41;4;5;6;5;5;6
42;4;5;6;5;6;6
43;4;5;5;5;6;6
44;4;5;5;5;6;6
45;4;5;5;5;5;6
46;5;5;6;5;6;6
47;4;5;6;5;6;6
48;4;5;6;5;6;6
49;5;5;6;5;6;6
50;4;5;6;5;6;6
51;5;5;5;5;6;6
52;5;5;6;5;6;6
53;4;5;6;5;6;6
54;4;5;5;5;6;6
55;5;5;6;5;6;6
56;5;5;6;5;6;6
57;5;5;5;5;6;6
58;5;5;6;5;6;6
59;5;5;6;5;6;6
60;5;5;5;5;6;6
61;5;5;5;5;6;6
62;5;5;5;5;6;6
63;5;5;6;5;6;6
64;5;5;5;5;6;6
65;5;5;6;5;6;6
66;5;5;5;5;6;6
67;5;5;6;5;6;6
68;5;5;6;5;6;6
69;5;5;6;5;6;6
70;5;5;6;5;6;6
71;5;5;6;5;6;6
72;5;5;6;5;6;6
73;5;5;6;5;6;6
74;5;5;6;5;6;6
75;5;5;6;5;6;6
76;5;5;5;5;6;6
77;5;5;6;5;6;6
78;5;5;6;5;6;6
79;5;5;6;5;6;6
80;5;5;6;5;6;6
81;5;5;5;5;6;6
82;5;5;5;5;6;6
83;5;5;6;5;6;6
84;5;5;6;5;6;6
85;5;5;5;5;6;6
86;5;5;6;5;6;6
87;5;5;6;5;6;6
88;5;5;6;5;6;6
89;5;5;6;5;6;6
90;5;5;6;5;6;6
91;5;5;6;5;6;6
92;5;5;6;5;6;6
93;5;5;5;5;6;6
94;5;5;6;5;6;6
95;5;5;6;5;6;6
96;5;5;5;5;6;6
97;5;5;6;5;6;6
98;5;5;6;5;6;6
99;5;5;6;5;6;6
100;5;5;5;5;6;6
