x;y;min_y;max_y
11;4;3;5
12;4;4;6
13;4;4;6
14;5;4;6
15;5;4;6
16;5;4;6
17;5;4;6
18;5;4;6
19;5;4;6
20;5;4;6
21;5;4;6
22;5;4;6
23;5;4;6
24;5;4;6
25;5;4;6
26;5;4;6
27;5;4;6
28;5;4;6
29;5;5;6
30;5;5;6
31;5;5;6
32;5;4;6
33;5;5;6
34;5;5;6
35;5;5;6
36;5;5;6
37;5;5;6
38;5;5;6
39;5;5;6
40;5;5;6
41;5;5;6
42;5;5;6
43;5;5;6
44;5;5;6
45;5;5;6
46;5;5;6
47;5;5;6
48;5;5;6
49;5;5;6
50;5;5;6
51;5;5;6
52;5;5;6
53;5;5;6
54;5;5;6
55;5;5;6
56;5;5;6
57;5;5;7
58;5;5;6
59;5;5;6
60;5;5;6
61;5;5;6
62;5;5;6
63;5;5;6
64;5;5;6
65;5;5;6
66;5;5;6
67;5;5;6
68;5;5;6
69;5;5;6
70;5;5;6
71;5;5;6
72;5;5;6
73;5;5;6
74;5;5;6
75;5;5;6
76;5;5;6
77;5;5;6
78;5;5;6
79;5;5;6
80;5;5;7
81;5;5;6
82;5;5;7
83;5;5;6
84;5;5;6
85;5;5;6
86;5;5;6
87;5;5;6
88;5;5;6
89;5;5;6
90;5;5;6
91;5;5;6
92;5;5;6
93;5;5;6
94;5;5;6
95;5;5;6
96;5;5;6
97;5;5;6
98;5;5;6
99;5;5;6
100;5;5;6
