N;min;median;max;min_greedy;median_greedy;max_greedy
9;3;4;5;3;4;5
10;3;4;5;3;4;5
11;3;4;5;3;4;5
12;3;4;5;4;4;5
13;3;4;5;3;4;5
14;3;4;5;3;4;5
15;3;4;5;4;4;5
16;3;4;5;4;4;5
17;3;4;5;4;4;5
18;3;4;5;4;4;5
19;3;4;5;4;5;5
20;4;4;5;4;5;5
21;4;4;5;4;5;5
22;4;4;5;4;5;5
23;4;4;5;4;5;5
24;4;4;5;4;5;5
25;4;4;5;4;5;5
26;4;4;5;4;5;5
27;4;4;5;4;5;5
28;4;4;5;4;5;5
29;4;4;5;4;5;5
30;4;4;5;4;5;5
31;4;4;5;4;5;5
32;4;4;5;4;5;5
33;4;4;5;4;5;5
34;4;4;5;4;5;5
35;4;4;5;4;5;5
36;4;4;5;4;5;5
37;4;4;5;4;5;5
38;4;4;5;4;5;5
39;4;4;5;4;5;5
40;4;4;5;4;5;5
41;4;4;5;4;5;5
42;4;4;5;4;5;5
43;4;4;5;4;5;5
44;4;4;5;4;5;5
45;4;4;5;4;5;5
46;4;4;5;4;5;5
47;4;4;5;4;5;5
48;4;4;5;4;5;5
49;4;4;5;4;5;5
50;4;4;5;4;5;5
51;4;4;5;4;5;5
52;4;4;5;4;5;5
53;4;4;5;4;5;5
54;4;4;5;4;5;5
55;4;4;5;4;5;5
56;4;4;5;4;5;5
57;4;4;5;4;5;5
58;4;4;5;4;5;5
59;4;4;5;4;5;5
60;4;4;5;4;5;5
61;4;4;5;4;5;5
62;4;4;5;5;5;5
63;4;4;5;4;5;5
64;4;4;5;4;5;5
65;4;4;5;5;5;5
66;4;4;5;4;5;5
67;4;4;5;5;5;5
68;4;4;5;5;5;5
69;4;4;5;4;5;5
70;4;5;5;5;5;5
71;4;4;5;5;5;5
72;4;4;5;5;5;5
73;4;4;5;5;5;5
74;4;5;5;5;5;5
75;4;5;5;4;5;5
76;4;4;5;5;5;5
77;4;5;5;5;5;5
78;4;4.5;5;5;5;5
79;4;4;5;5;5;5
80;4;5;5;4;5;5
81;4;4;5;5;5;5
82;4;5;5;5;5;5
83;4;5;5;5;5;5
84;4;4.5;5;5;5;5
85;4;5;5;5;5;5
86;4;4;5;5;5;5
87;4;5;5;5;5;5
88;4;5;5;5;5;5
89;4;4;5;5;5;5
90;4;5;5;5;5;5
91;4;5;5;5;5;5
92;4;5;5;5;5;5
93;4;5;5;5;5;5
94;4;5;5;5;5;5
95;4;5;5;5;5;5
96;4;5;5;5;5;5
97;4;5;5;5;5;5
98;4;4;5;5;5;5
99;4;5;5;5;5;5
100;4;5;5;5;5;5
